996,59	16,635	27,0
991,60	31,54	27,523
969,225	66,732	27,367
949,012	116,941	25,422
938,697	168,363	20,053
932,608	209,407	17,383
914,765	234,684	14,63
884,958	245,681	12,665
884,533	247,009	11,837
828,72	244,656	11,146

======================

3986,36	66,54	108
3966,4	126,16	110,09
3876,9	266,93	109,47
3796,05	467,76	101,69
3754,79	673,45	80,21
3730,43	837,63	69,53
3659,06	938,74	58,52
3539,83	982,72	50,66
3538,13	988,04	47,35
3314,88	978,62	44,58
